study_cca,variable,est,value,type,group
search_excluded,insulin,proportion,58.94428152492669,Proportion,NA
search_excluded,insulin,freq,341,Proportion,NA
search_excluded,insulin,missing,3,Proportion,NA
search_excluded,metformin,proportion,52.19941348973607,Proportion,NA
search_excluded,metformin,freq,341,Proportion,NA
search_excluded,metformin,missing,3,Proportion,NA
today_excluded,female,proportion,50,Proportion,NA
today_excluded,female,freq,2,Proportion,NA
today_excluded,female,missing,0,Proportion,NA
today_excluded,insulin,proportion,0,Proportion,NA
today_excluded,insulin,freq,2,Proportion,NA
today_excluded,insulin,missing,0,Proportion,NA
today_excluded,metformin,proportion,100,Proportion,NA
today_excluded,metformin,freq,2,Proportion,NA
today_excluded,metformin,missing,0,Proportion,NA
today_included,female,proportion,60.298507462686565,Proportion,NA
today_included,female,freq,335,Proportion,NA
today_included,female,missing,0,Proportion,NA
today_included,insulin,proportion,0,Proportion,NA
today_included,insulin,freq,335,Proportion,NA
today_included,insulin,missing,0,Proportion,NA
today_included,metformin,proportion,100,Proportion,NA
today_included,metformin,freq,335,Proportion,NA
today_included,metformin,missing,0,Proportion,NA
Total,cluster,proportion,36.563876651982376,Grouped,ID
Total,cluster,freq,249,Grouped,ID
Total,cluster,proportion,44.7870778267254,Grouped,IR
Total,cluster,freq,305,Grouped,IR
Total,cluster,proportion,18.649045521292216,Grouped,OB
Total,cluster,freq,127,Grouped,OB
search_excluded,cluster,proportion,42.151162790697676,Grouped,ID
search_excluded,cluster,freq,145,Grouped,ID
search_excluded,cluster,proportion,25.872093023255815,Grouped,IR
search_excluded,cluster,freq,89,Grouped,IR
search_excluded,cluster,proportion,31.976744186046513,Grouped,OB
search_excluded,cluster,freq,110,Grouped,OB
today_excluded,cluster,proportion,100,Grouped,IR
today_excluded,cluster,freq,2,Grouped,IR
today_included,cluster,proportion,31.044776119402986,Grouped,ID
today_included,cluster,freq,104,Grouped,ID
today_included,cluster,proportion,63.88059701492537,Grouped,IR
today_included,cluster,freq,214,Grouped,IR
today_included,cluster,proportion,5.074626865671642,Grouped,OB
today_included,cluster,freq,17,Grouped,OB
Total,study,proportion,50.51395007342144,Grouped,SEARCH
Total,study,freq,344,Grouped,SEARCH
Total,study,proportion,49.48604992657856,Grouped,TODAY
Total,study,freq,337,Grouped,TODAY
search_excluded,study,proportion,100,Grouped,SEARCH
search_excluded,study,freq,344,Grouped,SEARCH
today_excluded,study,proportion,100,Grouped,TODAY
today_excluded,study,freq,2,Grouped,TODAY
today_included,study,proportion,100,Grouped,TODAY
today_included,study,freq,335,Grouped,TODAY
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,681,Grouped,<=5 months
search_excluded,dmduration_category,proportion,100,Grouped,<=5 months
search_excluded,dmduration_category,freq,344,Grouped,<=5 months
today_excluded,dmduration_category,proportion,100,Grouped,<=5 months
today_excluded,dmduration_category,freq,2,Grouped,<=5 months
today_included,dmduration_category,proportion,100,Grouped,<=5 months
today_included,dmduration_category,freq,335,Grouped,<=5 months
Total,age_category,proportion,23.05433186490455,Grouped,14-15
Total,age_category,freq,157,Grouped,14-15
Total,age_category,proportion,37.15124816446402,Grouped,<=13
Total,age_category,freq,253,Grouped,<=13
Total,age_category,proportion,39.794419970631424,Grouped,>15
Total,age_category,freq,271,Grouped,>15
search_excluded,age_category,proportion,15.69767441860465,Grouped,14-15
search_excluded,age_category,freq,54,Grouped,14-15
search_excluded,age_category,proportion,33.72093023255814,Grouped,<=13
search_excluded,age_category,freq,116,Grouped,<=13
search_excluded,age_category,proportion,50.58139534883721,Grouped,>15
search_excluded,age_category,freq,174,Grouped,>15
today_excluded,age_category,proportion,100,Grouped,>15
today_excluded,age_category,freq,2,Grouped,>15
today_included,age_category,proportion,30.746268656716417,Grouped,14-15
today_included,age_category,freq,103,Grouped,14-15
today_included,age_category,proportion,40.8955223880597,Grouped,<=13
today_included,age_category,freq,137,Grouped,<=13
today_included,age_category,proportion,28.35820895522388,Grouped,>15
today_included,age_category,freq,95,Grouped,>15
Total,race_eth,proportion,30.837004405286343,Grouped,Hispanic
Total,race_eth,freq,210,Grouped,Hispanic
Total,race_eth,proportion,29.22173274596182,Grouped,NH Black
Total,race_eth,freq,199,Grouped,NH Black
Total,race_eth,proportion,8.223201174743025,Grouped,NH Other
Total,race_eth,freq,56,Grouped,NH Other
Total,race_eth,proportion,31.718061674008812,Grouped,NH White
Total,race_eth,freq,216,Grouped,NH White
search_excluded,race_eth,proportion,20.058139534883722,Grouped,Hispanic
search_excluded,race_eth,freq,69,Grouped,Hispanic
search_excluded,race_eth,proportion,30.813953488372093,Grouped,NH Black
search_excluded,race_eth,freq,106,Grouped,NH Black
search_excluded,race_eth,proportion,7.848837209302325,Grouped,NH Other
search_excluded,race_eth,freq,27,Grouped,NH Other
search_excluded,race_eth,proportion,41.27906976744186,Grouped,NH White
search_excluded,race_eth,freq,142,Grouped,NH White
today_excluded,race_eth,proportion,100,Grouped,Hispanic
today_excluded,race_eth,freq,2,Grouped,Hispanic
today_included,race_eth,proportion,41.492537313432834,Grouped,Hispanic
today_included,race_eth,freq,139,Grouped,Hispanic
today_included,race_eth,proportion,27.761194029850746,Grouped,NH Black
today_included,race_eth,freq,93,Grouped,NH Black
today_included,race_eth,proportion,8.656716417910447,Grouped,NH Other
today_included,race_eth,freq,29,Grouped,NH Other
today_included,race_eth,proportion,22.08955223880597,Grouped,NH White
today_included,race_eth,freq,74,Grouped,NH White
